ComponentId,SerdesId,DfeEnabled,Pre1Tap,MainTap,Post1Tap
0,0,1,2,31,10
0,1,1,2,31,10
0,2,1,2,31,10
0,3,1,2,31,10
0,4,1,2,31,10
0,5,1,2,31,10
0,6,1,2,31,10
0,7,1,2,31,10
0,8,1,2,31,10
0,9,1,2,31,10
0,10,1,2,31,10
0,11,1,2,31,10
0,12,1,2,31,10
0,13,1,2,31,10
0,14,1,2,31,10
0,15,1,2,31,10
0,16,1,2,31,10
0,17,1,2,31,10
0,18,1,2,31,10
0,19,1,2,31,10
0,20,1,2,31,10
0,21,1,2,31,10
0,22,1,2,31,10
0,23,1,2,31,10
0,24,1,4,31,12
0,25,1,4,31,12
0,26,1,4,31,12
0,27,1,4,31,12
0,32,1,2,31,10
0,33,1,2,31,10
0,34,1,2,31,10
0,35,1,2,31,10
0,36,1,2,31,10
0,37,1,2,31,10
0,38,1,2,31,10
0,39,1,2,31,10
0,40,1,2,31,10
0,41,1,2,31,10
0,42,1,2,31,10
0,43,1,2,31,10
0,44,1,2,31,10
0,45,1,2,31,10
0,46,1,2,31,10
0,47,1,2,31,10
0,48,1,2,31,10
0,49,1,2,31,10
0,50,1,2,31,10
0,51,1,2,31,10
0,52,1,2,31,10
0,53,1,2,31,10
0,54,1,2,31,10
0,55,1,2,31,10
0,56,1,4,31,12
0,57,1,4,31,12
0,58,1,4,31,12
0,59,1,4,31,12
0,60,1,4,31,12
0,61,1,4,31,12
0,62,1,4,31,12
0,63,1,4,31,12
0,64,1,4,31,12
0,65,1,4,31,12
0,66,1,4,31,12
0,67,1,4,31,12
